0.997	1071.2
1.994	1016.6
2.991	1030.2
3.989	1024.4
4.986	0995.1
5.984	0955.0
6.981	0933.5
7.979	1025.3
8.976	1089.8
9.974	1017.5
10.972	1053.7
11.97	1078.1
12.966	1071.2
13.964	1036.1
14.961	1060.5
15.959	1061.5
16.957	1022.4
17.954	1013.6
18.952	0987.3
19.949	1018.5
20.947	0988.2
21.944	1016.6
22.942	1043.9
23.939	1056.6
24.937	0973.6
25.934	1044.9
26.932	1087.8
27.929	1065.4
28.927	1032.2
29.924	1062.5
30.921	1024.4
31.919	0985.3
33.914	1058.5
34.912	1070.3
35.909	1059.5
36.906	1018.5
37.906	1038.0
38.902	1081.0
39.899	1102.5
40.896	1078.1
41.894	1105.4
42.891	1097.6
43.89	1098.6
44.887	1050.7
45.884	1071.2
46.882	1087.8
48.878	1091.7
49.874	1064.4
50.872	1082.0
51.87	1094.7
52.868	1079.1
53.869	1039.0
